epoch,test_acc,mean_train_acc,mean_train_crossentropy_loss_during_epoch
1,0.022609596133931653,0.010960820895522388,5.2287763471542394
2,0.045219192267863306,0.03421508528784648,4.897076014008349
3,0.09302726958923024,0.06090085287846482,4.421090268377048
4,0.13237832240248534,0.09325766998341625,4.030813206487627
5,0.17552640662754573,0.13266628168680408,3.8049026521792544
6,0.19036934760096652,0.17295960672826344,3.637944496008379
7,0.24732481877804627,0.20416148424543948,3.4884464811922897
8,0.22747670003451848,0.2302290630182421,3.3590528044873462
9,0.28460476354849845,0.250022210376688,3.2583384488437224
10,0.29133586468760786,0.2664282752902156,3.1639784033110403
11,0.32947877114256124,0.28215692371475953,3.0757500566144995
12,0.3369002416292717,0.3022054904051173,2.980638384056498
13,0.3536416983085951,0.3216580786543473,2.883243749390787
14,0.3615809458060062,0.3394448886519782,2.80750841270886
15,0.38401794960303764,0.35895300284292825,2.7236701161114136
16,0.48118743527787367,0.4397506515043828,2.446102494369946
17,0.5302036589575423,0.5162172767116797,2.1525252317823074
18,0.5712806351397998,0.5736311004501302,1.923447147361251
19,0.6104590956161546,0.6290830075811419,1.7044253123086144
20,0.6373835001725924,0.6742922293295427,1.5400761022750757
21,0.6580945806006213,0.7098066216536365,1.3872899419463265
22,0.66430790472903,0.7295516465292585,1.2753818613379748
23,0.6903693476009665,0.7620713397299218,1.163048388225946
24,0.7076285812909907,0.8023128405591092,1.0613193564069296
25,0.7254055919917156,0.8270737088367686,0.9833680799266676
26,0.7369692785640317,0.83986688580905,0.9148475138871655
27,0.7386952019330342,0.853389303482587,0.8698761163235728
28,0.7531929582326544,0.8742115316275764,0.7844617432876945
29,0.7597514670348636,0.886793710021322,0.738143086814677
30,0.749223334483949,0.8924388474295191,0.6879758524106764
31,0.7651018294787711,0.9106920753375977,0.5790062546730042
32,0.774249223334484,0.9195392087183133,0.540261319197063
33,0.7759751467034863,0.9283345178867567,0.5097376577127208
34,0.7654470141525717,0.9282345711916608,0.4925116421317241
35,0.7832240248532966,0.9315328121298271,0.49298747052261827
36,0.7830514325163963,0.9426602108505094,0.4312055462331914
37,0.7830514325163963,0.9405132077706705,0.4171175480778538
38,0.7839143942008975,0.9410129412461502,0.41269614066142263
39,0.783569209527097,0.943404258469557,0.3982469668901805
40,0.7833966171901967,0.9437966417910447,0.3876826254797897
41,0.7852951328960994,0.9440779732290927,0.37333676857607706
42,0.784259578874698,0.9444592513622365,0.3665496642782744
43,0.783569209527097,0.9463249230040275,0.3615885144993186
44,0.7840869865377977,0.947194829424307,0.3580924360863944
45,0.7858129099068001,0.9468246564795073,0.3542535658012321
46,0.7863306869175009,0.94909381663113,0.34315799418161674
47,0.7858129099068001,0.9482054015636104,0.3415919859081443
48,0.7851225405591992,0.9480906479507226,0.3393661742334935
49,0.7825336555056955,0.9471281982942431,0.3383581953198671
50,0.782878840179496,0.949293710021322,0.3348182990416281
